index,file,category,flag
1,IMG-20260911-WA0050.jpg,"Shower Screens & Glass",
2,IMG-20260911-WA0051.jpg,"Shower Screens & Glass",
3,IMG-20260911-WA0052.jpg,"Shower Screens & Glass",check-ownership
4,IMG-20260911-WA0053.jpg,"Shower Screens & Glass",
5,IMG-20260911-WA0054.jpg,"Shower Screens & Glass",
6,IMG-20260911-WA0055.jpg,"Shower Screens & Glass",
7,IMG-20260911-WA0057.jpg,"Shower Screens & Glass",check-ownership
8,IMG-20260911-WA0058.jpg,"Gypsum & Aluminium Partitions",
9,IMG-20260911-WA0059.jpg,"Gypsum & Aluminium Partitions",
10,IMG-20260911-WA0060.jpg,"Gypsum & Aluminium Partitions",
11,IMG-20260911-WA0061.jpg,"Gypsum & Aluminium Partitions",check-ownership
12,IMG-20260911-WA0062.jpg,"Gypsum & Aluminium Partitions",check-ownership
13,IMG-20260911-WA0063.jpg,"CNC Plate Design",
14,IMG-20260911-WA0064.jpg,"CNC Plate Design",
15,IMG-20260911-WA0065.jpg,"CNC Plate Design",
16,IMG-20260911-WA0066.jpg,"CNC Plate Design",
17,IMG-20260911-WA0067.jpg,"CNC Plate Design",
18,IMG-20260911-WA0068.jpg,"Stainless Steel",
19,IMG-20260911-WA0069.jpg,"Stainless Steel",
20,IMG-20260911-WA0070.jpg,"Aluminium Doors & Windows",
21,IMG-20260911-WA0071.jpg,"Aluminium Doors & Windows",
22,IMG-20260911-WA0072.jpg,"Curtain Wall",
23,IMG-20260911-WA0073.jpg,"Aluminium Doors & Windows",
24,IMG-20260911-WA0074.jpg,"Aluminium Doors & Windows",
25,IMG-20260911-WA0075.jpg,"Aluminium Doors & Windows",
26,IMG-20260911-WA0076.jpg,"Gypsum & Aluminium Partitions",
27,IMG-20260911-WA0077.jpg,"Aluminium Doors & Windows",
28,IMG-20260911-WA0078.jpg,"Gypsum & Aluminium Partitions",
29,IMG-20260911-WA0079.jpg,"Gypsum & Aluminium Partitions",
30,IMG-20260911-WA0080.jpg,"Aluminium Doors & Windows",
31,IMG-20260911-WA0081.jpg,"Aluminium Doors & Windows",
32,IMG-20260911-WA0083.jpg,"Aluminium Doors & Windows",
33,IMG-20260911-WA0084.jpg,"Aluminium Doors & Windows",
34,IMG-20260911-WA0085.jpg,"Curtain Wall",
35,IMG-20260911-WA0087.jpg,"Aluminium Doors & Windows",
36,IMG-20260911-WA0089.jpg,"Aluminium Doors & Windows",
37,IMG-20260911-WA0090.jpg,"Stainless Steel",
38,IMG-20260911-WA0091.jpg,"Aluminium Doors & Windows",
39,IMG-20260911-WA0092.jpg,"Aluminium Doors & Windows",
40,IMG-20260911-WA0093.jpg,"Metal Beds & Furniture",
41,IMG-20260911-WA0094.jpg,"Metal Beds & Furniture",
42,IMG-20260911-WA0095.jpg,"Metal Beds & Furniture",
43,IMG-20260911-WA0096.jpg,"Metal Beds & Furniture",
44,IMG-20260911-WA0097.jpg,"Metal Beds & Furniture",
45,IMG-20260911-WA0098.jpg,"Metal Beds & Furniture",
46,IMG-20260911-WA0099.jpg,"Metal Beds & Furniture",check-ownership
47,IMG-20260911-WA0100.jpg,"Metal Beds & Furniture",
48,IMG-20260911-WA0101.jpg,"Stainless Steel",
49,IMG-20260911-WA0102.jpg,"Stainless Steel",
50,IMG-20260911-WA0103.jpg,"Stainless Steel",
51,IMG-20260911-WA0104.jpg,"Stainless Steel",
52,IMG-20260911-WA0105.jpg,"Stainless Steel",
53,IMG-20260911-WA0106.jpg,"Stainless Steel",
54,IMG-20260911-WA0107.jpg,"Stainless Steel",
55,IMG-20260911-WA0109.jpg,"Stainless Steel",
